update_step,total_timesteps,mean_reward,median_reward,mean_space_ratio,mean_items_packed,entropy_loss,value_loss,action_loss,infeasibility_loss
5,2400,-0.0800888867903268,-0.0712592582567595,0.32791111111111115,23.7,4.134379863739014,0.30629807710647583,-0.737263023853302,0.002603480126708746
10,4800,-0.05918518356775167,-0.04837036846583942,0.34477037037037034,28.9,2.7036633491516113,0.13389329612255096,0.6728927493095398,0.0030964072793722153
15,7200,-0.09564444402494701,-0.0778518538136268,0.344,28.8,2.136467456817627,0.23973394930362701,0.3870098292827606,0.003319699317216873
20,9600,-0.12272592581284698,-0.1421481479483191,0.3455407407407407,27.7,2.109738826751709,0.05046878755092621,-0.26996734738349915,0.003274443792179227
25,12000,-0.05451851726975292,-0.04103703741566278,0.29872592592592595,25.7,2.1443569660186768,0.03919386491179466,-0.4303177297115326,0.002930555259808898
30,14400,-0.10115555712836795,-0.10688888841832522,0.33626666666666666,28.7,2.427158832550049,0.07783512026071548,0.6283438205718994,0.002758593298494816
35,16800,-0.08454814699216513,-0.11237036957754754,0.34394074074074077,28.8,2.854464054107666,0.030524136498570442,-0.7263613343238831,0.0024783890694379807
40,19200,0.0034222232017782515,0.0062962962401797995,0.3591111111111111,30.9,2.8151512145996094,0.012084775604307652,0.4779006540775299,0.002716589951887727
45,21600,-0.06682962810446043,-0.04466666762891691,0.3653037037037037,31.1,2.674978256225586,0.009698358364403248,0.210633784532547,0.003056021872907877
50,24000,-0.12691851669951576,-0.09799999829556327,0.35143703703703705,29.5,3.6371331214904785,0.015484398230910301,-0.5217204689979553,0.002800521207973361
55,26400,-0.12659259192296304,-0.11407407742808573,0.37354074074074073,31.5,3.420912265777588,0.01761377975344658,0.3175376057624817,0.0029841207433491945
60,28800,-0.012014813302084804,-0.019777774083195254,0.38705185185185187,30.9,3.055262565612793,0.012015674263238907,-0.07813818752765656,0.003194016171619296
65,31200,-0.10719999861903488,-0.12348148121964186,0.3823111111111111,31.4,2.193851947784424,0.022915923967957497,-0.6803725957870483,0.0035517895594239235
70,33600,-0.16039999779313802,-0.13259258992911782,0.3226666666666667,29.1,2.2409417629241943,0.017990564927458763,0.4835551083087921,0.0034329474437981844
75,36000,-0.12773333334043854,-0.12155555498611648,0.3570666666666667,32.6,2.3741025924682617,0.023085223510861397,-0.4966751039028168,0.0032391792628914118
80,38400,-0.09085925788240275,-0.09703703637933359,0.34518518518518515,25.6,3.5978198051452637,0.011637281626462936,0.4254125654697418,0.0029976298101246357
85,40800,-0.11959999961254653,-0.08155555280973203,0.35155555555555557,29.0,3.431847095489502,0.008765549398958683,0.15743891894817352,0.0027991915121674538
90,43200,-0.08103703642264008,-0.09007407334866002,0.3474074074074074,26.1,3.7702314853668213,0.010133995674550533,-0.2078055441379547,0.0026719688903540373
95,45600,-0.12173333245445975,-0.13592592506029177,0.28968888888888883,25.1,4.484058856964111,0.009929250925779343,-0.025934219360351562,0.002534047933295369
100,48000,-0.13651851833128603,-0.1426666692714207,0.3782814814814815,31.2,4.24707555770874,0.009466629475355148,0.4754587709903717,0.002682394813746214
105,50400,-0.060562960724928415,-0.046962962398538366,0.3488592592592593,26.6,4.285574913024902,0.011640925891697407,-0.28220224380493164,0.0023663693573325872
110,52800,-0.06957036990497727,-0.08096296052099206,0.3378962962962963,27.5,4.025052070617676,0.008411252871155739,-0.1300920695066452,0.0024672779254615307
115,55200,-0.0736148149066139,-0.06533333341940306,0.3582518518518519,28.6,3.9607863426208496,0.006299917120486498,0.20727013051509857,0.002512248232960701
120,57600,-0.06748148027254501,-0.08037037041503936,0.3478518518518518,29.0,3.919785976409912,0.007150001358240843,-0.2298705279827118,0.0024868925102055073
125,60000,-0.13591110998240766,-0.09851851992425509,0.3565333333333333,30.7,4.028879165649414,0.009756279177963734,-0.3973230719566345,0.0026227785274386406
